Al,Co ,Cr,Cu,Fe,Mn,Mo,Nb,Ta,Ti,Si,W,Ni,Temper( C),cp
0,0,0,0,0,0,0,0,0,0,0,0,100,25,426
0,0,0,0,0,0,0,0,0,0,0,0,100,100,480
0,0,0,0,0,0,0,0,0,0,0,0,100,200,547
0,0,0,0,0,0,0,0,0,0,0,0,100,300,700
0,0,0,0,0,0,0,0,0,0,0,0,100,400,536
0,0,0,0,0,0,0,0,0,0,0,0,100,500,535
0,0,0,0,0,0,0,0,0,0,0,0,100,600,540
0,0,0,0,0,0,0,0,0,0,0,0,100,700,557
0,0,0,0,0,0,0,0,0,0,0,0,100,800,574
0,0,0,0,0,0,0,0,0,0,0,0,100,900,590
0,0,0,0,0,0,0,0,0,0,0,0,100,1000,605
0,0,0,0,0,0,0,0,0,0,0,0,100,1100,611
0,0,0,0,0,0,0,0,0,0,0,0,100,1200,617
0,0,0,0,0,0,0,0,0,0,0,0,100,1300,617
0,0,0,0,0,0,0,0,0,0,0,0,100,1400,617
0,0,0,0,0,0,0,0,0,0,0,0,100,1455,617
0,0,0,30,1.5,1,0,0,0,0,0,0,67.5,21,427
0,0,0,68.3,0.7,0,0,0,0,0,0,0,31,25,380
0,0,0,55,0,0,0,0,0,0,0,0,45,25,421
2.8,0,0,29,0,0,0,0,0,0.5,0,0,67.7,21,419
0,0,16,0.25,6,0.5,0,0,0,0,0.25,0,77,21,444
0,1.25,20.5,0,2.3,0.25,14.2,0,0,0,0.04,3.2,58.26,25,381
1.4,0,23,0,15.1,0,0,0,0,0,0,0,60.5,25,448
1.2,12.5,21.5,0,0,0,9,0,0,0,0,0,55.8,25,419
0,0,21,0,0.5,0.5,16,0,0,0.1,0.04,4,57.86,20,373
0,0,21,0,0.5,0.5,16,0,0,0.1,0.04,4,57.86,100,389
0,0,21,0,0.5,0.5,16,0,0,0.1,0.04,4,57.86,200,410
0,0,21,0,0.5,0.5,16,0,0,0.1,0.04,4,57.86,300,431
0,0,21,0,0.5,0.5,16,0,0,0.1,0.04,4,57.86,400,456
0,0,21,0,0.5,0.5,16,0,0,0.1,0.04,4,57.86,500,477
0,0,21,0,0.5,0.5,16,0,0,0.1,0.04,4,57.86,600,498
0,0,21,0,0.5,0.5,16,0,0,0.1,0.04,4,57.86,700,519
