Al,Co ,Cr,Cu,Fe,Mn,Mo,Nb,Ta,Ti,Si,W,Ni,Temp,K
0,0,0,0,0,0,0,0,0,0,0,0,100,25,90
0,0,0,0,0,0,0,0,0,0,0,0,100,100,87
0,0,0,0,0,0,0,0,0,0,0,0,100,200,76
0,0,0,0,0,0,0,0,0,0,0,0,100,300,64
0,0,0,0,0,0,0,0,0,0,0,0,100,400,60
0,0,0,0,0,0,0,0,0,0,0,0,100,500,62
0,0,0,0,0,0,0,0,0,0,0,0,100,600,65
0,0,0,0,0,0,0,0,0,0,0,0,100,700,67
0,0,0,0,0,0,0,0,0,0,0,0,100,800,71
0,0,0,0,0,0,0,0,0,0,0,0,100,900,72.7
0,0,0,0,0,0,0,0,0,0,0,0,100,1000,76.7
0,0,0,0,0,0,0,0,0,0,0,0,100,1100,79.5
0,0,0,0,0,0,0,0,0,0,0,0,100,1200,82
0,0,0,0,0,0,0,0,0,0,0,0,100,1300,83.5
0,0,0,0,0,0,0,0,0,0,0,0,100,1400,85
0,0,0,0,0,0,0,0,0,0,0,0,100,1455,86.5
0,0,0,30,1.5,1,0,0,0,0,0,0,67.5,25,21.7
0,0,0,30,1.5,1,0,0,0,0,0,0,67.5,93,24.1
0,0,0,30,1.5,1,0,0,0,0,0,0,67.5,204,27.8
0,0,0,30,1.5,1,0,0,0,0,0,0,67.5,316,31
0,0,0,30,1.5,1,0,0,0,0,0,0,67.5,427,34.3
0,0,0,30,1.5,1,0,0,0,0,0,0,67.5,538,38.1
0,0,0,30,1.5,1,0,0,0,0,0,0,67.5,649,41.4
0,0,0,30,1.5,1,0,0,0,0,0,0,67.5,760,44.9
0,0,0,30,1.5,1,0,0,0,0,0,0,67.5,871,48.3
0,0,0,30,1.5,1,0,0,0,0,0,0,67.5,982,51.9
0,0,0,68.3,0.7,0,0,0,0,0,0,0,31,25,29.4
0,0,0,55,0,0,0,0,0,0,0,0,45,25,19.5
2.8,0,0,29,0,0,0,0,0,0.5,0,0,67.7,25,17.4
2.8,0,0,29,0,0,0,0,0,0.5,0,0,67.7,93,19.6
2.8,0,0,29,0,0,0,0,0,0.5,0,0,67.7,204,22.5
2.8,0,0,29,0,0,0,0,0,0.5,0,0,67.7,316,25.6
2.8,0,0,29,0,0,0,0,0,0.5,0,0,67.7,427,28.5
2.8,0,0,29,0,0,0,0,0,0.5,0,0,67.7,538,31.7
2.8,0,0,29,0,0,0,0,0,0.5,0,0,67.7,649,34.6
2.8,0,0,29,0,0,0,0,0,0.5,0,0,67.7,760,37.8
2.8,0,0,29,0,0,0,0,0,0.5,0,0,67.7,871,40.6
0,0,16,0.25,6,0.5,0,0,0,0,0.25,0,77,25,14.8
1.4,0,23,0,15.1,0,0,0,0,0,0,0,60.5,25,11.2
1.2,12.5,21.5,0,0,0,9,0,0,0,0,0,55.8,25,13.6
0.3,0,22,0,0,0.25,9,4,0,0.3,0.25,0,63.9,21,9.8
0.3,0,22,0,0,0.25,9,4,0,0.3,0.25,0,63.9,538,17.5
0.3,0,22,0,0,0.25,9,4,0,0.3,0.25,0,63.9,871,22.8
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,25,8.9
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,100,10.8
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,200,12.9
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,300,15.2
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,400,17.4
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,500,18.7
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,600,20.8
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,700,21.9
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,800,26.9
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,900,25.8
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,1000,26.7
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,1100,28.3
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,1170,29.3
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,1336,29.6
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,1500,29.6
0,0,15,0,7,0,0,0,0,2.5,0,0,75.5,25,12
0,0,18.5,0,44.8,0,0,0,0,0,1.2,0,35.5,25,12.4
0,0,20,3.5,38.4,0,2.5,0.6,0,0,0,0,35,25,12.3
0,0,22.5,2,19.5,0,7,0,0,0,0,0,49,25,14.26
0,0,15.5,0,5.5,0,16,0,0,0,0,4,59,25,9.8
0,1.5,22,0,18.5,0,9,0,0,0,0,0.6,48.4,25,11.6
0.4,0,21,0,45,0,0,0,0,0.4,0,0,33.2,25,11.5
0,0,18,0,40,0,0,0,0,0,2,0,40,25,12
0.5,0,5.5,0,47,0,0,0,0,2.5,0,0,44.5,25,12.1
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,25,10.3
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,100,11.5
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,200,13.2
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,300,15
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,400,16.9
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,500,18.8
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,600,20.9
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,700,22.8
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,800,23.8
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,900,25.9
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,1000,28
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,1100,30.2
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,1200,32.4
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,1260,33.7
0,0,20,0,0,0,0,0,0,0.4,0,0,79.6,25,11.7
1.5,0,20,0,0,0,0,0,0,2,0,0,76.5,25,11.2
1,0,30,0,0,0,0,0,0,1.8,0,0,67.2,25,10.9
1.4,17,20,0,0,0,0,0,0,2.4,0,0,59.2,25,11.5
5,20,15,0,0,0,5,0,0,1.2,0,0,53.8,25,10.9
5,13,14,0,0,0,3,0,0,4,0,0,61,25,10.6
0.5,20,20,0,0,0,6,0,0,2,0,0,51.5,25,11.7
1,0,16,0,32,0,3,0,0,1,0,0,47,25,11.7
2.1,14,18,0,0,0,7,0,0,2.25,0,0,56.65,25,11.3
